table_name,column_name,data_type,is_nullable,column_default,is_primary_key,foreign_table,foreign_column,constraint_type
ad_stats,id,bigint,NO,null,true,null,null,PRIMARY KEY
ad_stats,event_type,text,NO,null,false,null,null,null
ad_stats,ad_id,text,YES,null,false,null,null,null
ad_stats,created_at,timestamp with time zone,YES,now(),false,null,null,null
book_categories,id,integer,NO,nextval('book_categories_id_seq'::regclass),true,null,null,PRIMARY KEY
book_categories,name,text,NO,null,false,null,null,UNIQUE
book_categories,order,integer,YES,0,false,null,null,null
book_chat_reactions,id,bigint,NO,null,true,null,null,PRIMARY KEY
book_chat_reactions,message_id,bigint,NO,null,false,null,null,UNIQUE
book_chat_reactions,message_id,bigint,NO,null,false,book_chats,id,FOREIGN KEY
book_chat_reactions,user_email,text,NO,null,false,users,email,FOREIGN KEY
book_chat_reactions,user_email,text,NO,null,false,null,null,UNIQUE
book_chat_reactions,reaction,text,NO,null,false,null,null,null
book_chats,id,bigint,NO,null,true,null,null,PRIMARY KEY
book_chats,created_at,timestamp with time zone,NO,now(),false,null,null,null
book_chats,book_name,text,NO,null,false,null,null,null
book_chats,sender_email,text,YES,null,false,users,email,FOREIGN KEY
book_chats,message,text,YES,null,false,null,null,null
chat_messages,id,bigint,NO,null,true,null,null,PRIMARY KEY
chat_messages,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())",false,null,null,null
chat_messages,sender_email,text,YES,null,false,null,null,null
chat_messages,receiver_email,text,YES,null,false,null,null,null
chat_messages,message,text,YES,null,false,null,null,null
chat_messages,is_read,boolean,YES,false,false,null,null,null
chat_messages,is_html,boolean,YES,false,false,null,null,null
chavruta_requests,id,uuid,NO,gen_random_uuid(),true,null,null,PRIMARY KEY
chavruta_requests,sender_email,text,YES,null,false,null,null,null
chavruta_requests,receiver_email,text,YES,null,false,null,null,null
chavruta_requests,book_name,text,YES,null,false,null,null,null
chavruta_requests,status,text,YES,'pending'::text,false,null,null,null
chavruta_requests,created_at,timestamp with time zone,YES,now(),false,null,null,null
cookie_consents,id,bigint,NO,null,true,null,null,PRIMARY KEY
cookie_consents,user_email,text,YES,null,false,null,null,null
cookie_consents,ip_address,text,YES,null,false,null,null,null
cookie_consents,user_agent,text,YES,null,false,null,null,null
cookie_consents,accepted_at,timestamp with time zone,YES,now(),false,null,null,null
lottery_entries,id,integer,NO,nextval('lottery_entries_id_seq'::regclass),true,null,null,PRIMARY KEY
lottery_entries,lottery_id,integer,YES,null,false,lottery_items,id,FOREIGN KEY
lottery_entries,lottery_id,integer,YES,null,false,null,null,UNIQUE
lottery_entries,user_email,text,YES,null,false,users,email,FOREIGN KEY
lottery_entries,user_email,text,YES,null,false,null,null,UNIQUE
lottery_entries,created_at,timestamp with time zone,YES,now(),false,null,null,null
lottery_items,id,integer,NO,nextval('lottery_items_id_seq'::regclass),true,null,null,PRIMARY KEY
lottery_items,name,text,NO,null,false,null,null,null
